	The Innocents&#039; Day
-0	Collects Epistles and Gospels
-1	The First Sunday in Advent
-2	The Second Sunday in Advent
-3	The Third Sunday in Advent
-4	The Fourth Sunday in Advent
-5	Saint Stephen&#039;s Day
-6	Christmas Day
-7	The Sunday after Christmas Day
-8	The Circumcision of Christ
-9	The Epiphany
-10	The First Sunday after the Epiphany
-11	The Second Sunday after the Epiphany
-12	The Third Sunday after the Epiphany
-13	The Fourth Sunday after The Epiphany
-14	The Fifth Sunday after the Epiphany
-15	The Sixth Sunday after the Epiphany
-16	The Sunday called Septuagesima
-17	The Sunday called Sexagesima
-18	The Sunday called Quinquagesima
-19	Saint John The Evangelist&#039;s Day
-20	The First Sunday in Lent
-21	The Second Sunday in Lent
-22	The Third Sunday in Lent
-23	The Fourth Sunday in Lent
-24	The Fifth Sunday in Lent
-25	The Sunday Next before Easter
-26	Monday before Easter
-27	Tuesday before Easter
-28	Wednesday before Easter
-29	Thursday before Easter
-30	Good Friday
-31	Easter Even
-32	Easter Day
-33	Monday in Easter Week
-34	Tuesday in Easter Week
-35	The First Sunday after Easter
-36	The Second Sunday after Easter
-37	The Third Sunday after Easter
-38	The Fourth Sunday after Easter
-39	The Fifth Sunday after Easter
-40	The Ascension Day
-41	Sunday after Ascension Day
-42	Whitsunday
-43	Monday in Whitsun Week
-44	Tuesday in Whitsun Week
-45	The First Sunday after Trinity
-46	Trinity Sunday
-47	The Second Sunday after Trinity
-48	The Third Sunday after Trinity
-49	The Fourth Sunday after Trinity
-50	The Fifth Sunday after Trinity
-51	The Sixth Sunday after Trinity
-52	The Seventh Sunday after Trinity
-53	The Eighth Sunday after Trinity
-54	The Ninth Sunday after Trinity
-55	The Tenth Sunday after Trinity
-56	The Eleventh Sunday after Trinity
-57	The Twelfth Sunday after Trinity
-58	The Thirteenth Sunday after Trinity
-59	The Fourteenth Sunday after Trinity
-60	The Fifteenth Sunday after Trinity
-61	The Sixteenth Sunday after Trinity
-62	The Seventeenth Sunday after Trinity
-63	The Eighteenth Sunday after Trinity
-64	The Nineteenth Sunday after Trinity
-65	The Twentieth Sunday after Trinity
-66	The Twenty-First Sunday after Trinity
-67	The Twenty-Second Sunday after Trinity
-68	The Twenty-Third Sunday after Trinity
-69	The Twenty-Fourth Sunday after Trinity
-70	The Twenty-Fifth Sunday after Trinity
-71	Saint Andrew&#039;s Day
-72	Saint Thomas the Apostle
-73	The Conversion of Saint Paul
-74	The Purification of Saint Mary the Virgin
-75	Saint Matthias&#039;s Day
-76	The Annunciation of the Blessed Virgin Mary
-77	Saint Mark&#039;s Day
-78	Saint Philip and Saint James&#039;s Day
-79	Saint Barnabas the Apostle
-80	Saint John Baptist&#039;s Day
-81	Saint Peter&#039;s Day
-82	Saint James the Apostle
-83	Saint Bartholemew the Apostle
-84	Saint Matthew the Apostle
-85	Saint Michael and All Angels
-86	Saint Luke the Evangelist
-87	Saint Simon and Saint Jude, Apostles
